iter	Logloss
0	0.6256171578
1	0.5673078682
2	0.5199608119
3	0.4819229229
4	0.4482392272
5	0.4182910371
6	0.3942088349
7	0.3708676489
8	0.3516941058
9	0.3343167804
10	0.3191833275
11	0.3077051477
12	0.2966021535
13	0.2857803577
14	0.2763988128
15	0.2686117351
16	0.2608906492
17	0.255334662
18	0.2510773643
19	0.2463874162
20	0.2419230658
21	0.2367107294
22	0.2326170822
23	0.228788312
24	0.2259163561
25	0.2233163226
26	0.2200951802
27	0.217729856
28	0.2151276229
29	0.2130777447
30	0.211119756
31	0.2091428677
32	0.2073540138
33	0.2057025169
34	0.2041020002
35	0.2024832337
36	0.2006532664
37	0.1993608508
38	0.1977144475
39	0.1963164384
40	0.1950678714
41	0.193822627
42	0.192780722
43	0.1914297174
44	0.1899015864
45	0.1886202236
46	0.1873369573
47	0.186161527
48	0.1849960072
49	0.1842355896
50	0.1835116968
51	0.1826209908
52	0.1815082533
53	0.1804099941
54	0.1793395774
55	0.1783157837
56	0.1778190043
57	0.1771152636
58	0.176483386
59	0.1759380699
60	0.1751658142
61	0.1742446439
62	0.1737947318
63	0.1732099748
64	0.1722981997
65	0.1714200902
66	0.1707113498
67	0.1702772986
68	0.1698352374
69	0.1695516189
70	0.1690728388
71	0.1686698746
72	0.1681166556
73	0.1674840882
74	0.1670414907
75	0.1664647393
76	0.1660292116
77	0.1654772211
78	0.1646252102
79	0.1640020258
80	0.1632665225
81	0.1629082953
82	0.162547151
83	0.161889591
84	0.1613661458
85	0.1608432156
86	0.1606175058
87	0.1602472849
88	0.1597760096
89	0.1593724027
90	0.1590923666
91	0.1589403662
92	0.1586420878
93	0.1580405146
94	0.1577523274
95	0.1575406226
96	0.1570841865
97	0.1567275057
98	0.1562477833
99	0.1559447746
100	0.1555891809
101	0.15539851
102	0.1550433111
103	0.1546135878
104	0.1541838258
105	0.1538033949
106	0.1533647659
107	0.1528373821
108	0.1523881765
109	0.1520836933
110	0.1519425342
111	0.151532507
112	0.1510366744
113	0.1504308065
114	0.1501276786
115	0.1499401026
116	0.149591699
117	0.1492856314
118	0.1490470464
119	0.1486496933
120	0.1482443877
121	0.1481065899
122	0.1478428472
123	0.1474676803
124	0.1472840291
125	0.1467332776
126	0.1463921667
127	0.1463064728
128	0.1459483244
129	0.1457341207
130	0.1455580421
131	0.1452430558
132	0.1449823879
133	0.1447800676
134	0.1445933931
135	0.1442919125
136	0.144012727
137	0.1436944758
138	0.1433057426
139	0.1431223369
140	0.1428118797
141	0.1424489451
142	0.1420427525
143	0.1417872418
144	0.1417170624
145	0.1413909415
146	0.1411585752
147	0.1409299415
148	0.1405542166
149	0.1403022185
150	0.1400796177
151	0.1398276053
152	0.1395193486
153	0.1392700609
154	0.1389458032
155	0.1386904997
156	0.1384771925
157	0.1381376009
158	0.1378757643
159	0.1376510379
160	0.137480679
161	0.1371847103
162	0.1369393695
163	0.1366451986
164	0.1365661842
165	0.1363213633
166	0.1361694516
167	0.1358567575
168	0.1355601217
169	0.1353880415
170	0.1352664968
171	0.1350088238
172	0.1347100619
173	0.1344581486
174	0.134235904
175	0.1339757472
176	0.1337315369
177	0.1334757851
178	0.1332882392
179	0.1330692146
180	0.1328759018
181	0.1326266935
182	0.1323509938
183	0.1321538202
184	0.1319947509
185	0.1318497775
186	0.131651161
187	0.1314200059
188	0.1312156539
189	0.1309563651
190	0.1306458772
191	0.1303844246
192	0.1301264811
193	0.1299928917
194	0.1297919819
195	0.1295905135
196	0.1294411224
197	0.1292084702
198	0.1288957517
199	0.128480608
200	0.1281554528
201	0.1279163006
202	0.1277218203
203	0.1274762171
204	0.127199776
205	0.1270012565
206	0.1267309883
207	0.1265502116
208	0.1263095086
209	0.125978556
210	0.1257160601
211	0.1255558884
212	0.1253271247
213	0.1251958917
214	0.1249220795
215	0.124663804
216	0.1243622602
217	0.1241143969
218	0.1238929474
219	0.1236922286
220	0.1234877608
221	0.1233022126
222	0.1230838154
223	0.1228935682
224	0.1227290944
225	0.1225005771
226	0.1223773091
227	0.122201201
228	0.1220553088
229	0.1218703424
230	0.1217269029
231	0.1215909647
232	0.1214849637
233	0.1212824095
234	0.1211708425
235	0.1210296439
236	0.1208063277
237	0.1206395589
238	0.1204050568
239	0.1202386322
240	0.1200456831
241	0.1198997482
242	0.1196734543
243	0.1195606935
244	0.1193480697
245	0.1192055741
246	0.1190052707
247	0.1188314754
248	0.1186838618
249	0.1184214462
250	0.1181723013
251	0.1180228505
252	0.1178309933
253	0.117582215
254	0.1174115687
255	0.1171986335
256	0.1169845992
257	0.1167944382
258	0.1166628524
259	0.1165795372
260	0.1164615786
261	0.1162794302
262	0.1161037293
263	0.1159584179
264	0.1158834247
265	0.1157415793
266	0.1155211722
267	0.1154426898
268	0.1152394699
269	0.1150632791
270	0.1149386544
271	0.1147802265
272	0.114530139
273	0.1143200828
274	0.1142247457
275	0.1139932008
276	0.1137888824
277	0.1135808482
278	0.1133802233
279	0.1132187055
280	0.1130894119
281	0.1129453251
282	0.1127626677
283	0.1126156447
284	0.1125521422
285	0.1124244445
286	0.112285986
287	0.1122022625
288	0.1120581592
289	0.111929768
290	0.1118265551
291	0.1115952719
292	0.1113473364
293	0.1112679739
294	0.1111053871
295	0.1110402677
296	0.1108479511
297	0.110687956
298	0.1104647689
299	0.1103541492
300	0.1102399217
301	0.1100876204
302	0.1098905699
303	0.109823841
304	0.1097664177
305	0.1095788645
306	0.1093445426
307	0.109185718
308	0.1090634687
309	0.1088732028
310	0.1087594447
311	0.1085689084
312	0.1083957287
313	0.1082225849
314	0.1081185808
315	0.1080686729
316	0.1079701343
317	0.1078764947
318	0.1077302615
319	0.1075967778
320	0.1073893953
321	0.1073394501
