iter	Passed	Remaining
0	14	14942
1	28	14317
2	42	14181
3	56	14140
4	71	14192
5	85	14196
6	100	14286
7	114	14220
8	128	14135
9	143	14178
10	158	14260
11	172	14242
12	191	14501
13	206	14508
14	220	14466
15	235	14466
16	249	14409
17	264	14403
18	278	14355
19	291	14298
20	306	14301
21	321	14292
22	335	14245
23	351	14288
24	365	14253
25	379	14202
26	392	14149
27	407	14133
28	421	14114
29	435	14089
30	450	14083
31	465	14087
32	479	14062
33	497	14142
34	511	14104
35	525	14084
36	539	14043
37	554	14030
38	568	14016
39	582	13982
40	597	13972
41	611	13951
42	626	13951
43	641	13938
44	655	13910
45	669	13884
46	686	13911
47	701	13909
48	715	13885
49	729	13865
50	745	13867
51	759	13854
52	774	13833
53	788	13813
54	802	13788
55	816	13768
56	830	13737
57	844	13721
58	858	13696
59	873	13682
60	888	13672
61	904	13679
62	919	13682
63	934	13667
64	949	13658
65	964	13643
66	979	13636
67	994	13636
68	1009	13622
69	1023	13601
70	1037	13569
71	1049	13529
72	1064	13513
73	1079	13505
74	1094	13503
75	1109	13490
76	1124	13481
77	1138	13455
78	1153	13453
79	1169	13445
80	1186	13459
81	1201	13455
82	1218	13465
83	1235	13477
84	1291	13900
85	1327	14109
86	1345	14117
87	1361	14113
88	1376	14092
89	1391	14071
90	1405	14041
91	1418	14003
92	1434	13992
93	1449	13969
94	1463	13941
95	1476	13907
96	1491	13886
97	1506	13861
98	1523	13864
99	1537	13835
100	1551	13811
101	1565	13785
102	1579	13758
103	1593	13729
104	1608	13712
105	1623	13694
106	1638	13675
107	1652	13651
108	1669	13643
109	1684	13626
110	1698	13604
111	1713	13584
112	1728	13564
113	1742	13544
114	1757	13524
115	1771	13499
116	1786	13480
117	1801	13466
118	1816	13451
119	1831	13431
120	1845	13407
121	1859	13385
122	1873	13361
123	1887	13337
124	1902	13314
125	1916	13294
126	1931	13274
127	1944	13247
128	1959	13231
129	1973	13209
130	1987	13186
131	2002	13169
132	2017	13149
133	2031	13127
134	2044	13102
135	2059	13082
136	2075	13074
137	2088	13044
138	2102	13025
139	2117	13005
140	2130	12980
141	2145	12962
142	2160	12946
143	2175	12934
144	2189	12910
145	2204	12895
146	2218	12872
147	2232	12849
148	2246	12829
149	2260	12811
150	2275	12792
151	2289	12772
152	2304	12755
153	2317	12729
154	2331	12711
155	2346	12693
156	2360	12675
157	2375	12658
158	2390	12641
159	2403	12619
160	2417	12595
161	2431	12578
162	2445	12559
163	2459	12537
164	2475	12527
